Unnamed: 0,ingredient,name_unit,unit_kg,simple_ingredient
0,bœuf (carpaccio),g,0.001,boeuf
1,emmental,g,0.001,emmental
2,sauce teriyaki,càs,0.015,sauce teriyaki
3,riz,g,0.001,riz
5,gnocchi,g,0.001,gnocchi
6,epinard (frais),g,0.001,epinard
7,gorgonzola,g,0.001,gorgonzola
8,crème liquide,cl,0.01,crème liquide
9,lentilles corail,g,0.001,lentilles corail
10,tomate (chair),g,0.001,tomate
11,lait de coco,cl,0.01,lait de coco
12,ail,gou.,0.0833333333333333,ail
13,lasagnes (cru),g,0.001,lasagnes
14,courgette,g,0.001,courgette
15,tomate (purée),g,0.001,tomate
16,champignons de paris (frais),g,0.001,champignons de paris
17,mozzarella (boule),unitaire,0.1875,mozzarella
18,pâtes (spaghetti),g,0.001,pâtes
19,pancetta,tran.,0.025,pancetta
20,œuf,unitaire,0.06,oeuf
21,parmesan (morceaux),g,0.001,parmesan
22,pâte brisée,unitaire,0.225,pâte brisée
23,courgette,unitaire,0.12,courgette
24,carotte (frais),unitaire,0.1052631578947368,carotte
27,moutarde à l'ancienne,càs,0.015,moutarde à l'ancienne
28,pâte à pizza,unitaire,0.225,pâte à pizza
29,fromage blanc,càs,0.015,fromage blanc
30,crème fraîche épaisse,càs,0.015,crème fraîche épaisse
31,lardons,g,0.001,lardons
32,oignon jaune,unitaire,0.1,oignon jaune
33,bœuf (haché),g,0.001,boeuf
35,origan (séché),pinc.,0.0005,origan
36,haricots rouges (cuits),g,0.001,haricots rouges
37,,càc,0.005,nan
40,,g,0.001,nan
41,pâtes (coquillettes),g,0.001,pâtes
42,jambon blanc,tran.,0.02,jambon blanc
43,pomme de terre,g,0.001,pomme de terre
44,knack (porc),unitaire,0.04,knack
45,lait,cl,0.01,lait
46,beurre,g,0.001,beurre
47,reblochon,g,0.001,reblochon
51,vin blanc,cl,0.01,vin blanc
53,raclette,g,0.001,raclette
56,jambon cru,tran.,0.025,jambon cru
57,cornichon,g,0.001,cornichon
58,rosette,tran.,0.025,rosette
59,cabillaud (frais),unitaire,0.175,cabillaud
61,farine de blé,g,0.001,farine de blé
62,bière,cl,0.01,bière
63,bicarbonate de soude,càc,0.005,bicarbonate de soude
64,huile de tournesol,cl,0.01,huile de tournesol
65,citron jaune,unitaire,0.1166666666666666,citron jaune
66,sauce tartare,càs,0.015,sauce tartare
67,galette bretonne,unitaire,0.0875,galette bretonne
69,fromage râpé,pinc.,0.0005,fromage râpé
72,échalote,unitaire,0.0222222222222222,échalote
73,canard (confit),unitaire,0.175,canard
74,noisette,g,0.001,noisette
78,beurre,noisette,0.004,beurre
79,poulet (escalope),unitaire,0.125,poulet
80,miel (liquide),càs,0.015,miel
82,haricot vert (frais),g,0.001,haricot vert
85,ciboulette,bou.,0.04,ciboulette
87,farine de blé,càs,0.015,farine de blé
88,chapelure,càs,0.015,chapelure
90,salade (mélange),g,0.001,salade
92,chorizo (tranches),g,0.001,chorizo
93,parmesan (râpé),g,0.001,parmesan
97,saumon (frais),unitaire,0.125,saumon
100,crevette (cuite),g,0.001,crevette
102,piment d'espelette,pinc.,0.0005,piment d'espelette
103,persil (frais),bou.,0.04,persil
104,pâtes (tagliatelles),g,0.001,pâtes
108,parmesan (râpé),càs,0.015,parmesan
109,tomate cerise,g,0.001,tomate cerise
110,thym (feuilles),pinc.,0.0005,thym
118,graines de sésame,càc,0.005,graines de sésame
124,basilic (frais),bou.,0.04,basilic
125,tomate,g,0.001,tomate
126,mozzarella di bufala,unitaire,0.1875,mozzarella di bufala
127,nectarine,unitaire,0.1587301587301587,nectarine
129,coriandre (frais),bou.,0.04,coriandre
130,petits pois (surgelés),g,0.001,petits pois
131,feta,g,0.001,feta
134,tomate,unitaire,0.0862068965517241,tomate
135,ricotta,càs,0.015,ricotta
136,feta,unitaire,0.125,feta
139,artichauts marinés,g,0.001,artichauts marinés
141,burrata,g,0.001,burrata
144,menthe (feuilles),bou.,0.04,menthe
147,lait de coco,càs,0.015,lait de coco
151,pignons de pin,càs,0.015,pignons de pin
155,fraise,unitaire,0.0162954915806626,fraise
157,burrata,unitaire,0.125,burrata
161,figue,unitaire,0.0625,figue
162,pain de campagne (tranché),tran.,0.035,pain de campagne
163,chèvre frais,càs,0.015,chèvre frais
165,miel (liquide),càc,0.005,miel
166,noix,g,0.001,noix
168,aubergine,unitaire,0.2857142857142857,aubergine
174,olive noire,unitaire,0.0075,olive noire
175,chèvre (crottin),unitaire,0.04,chèvre
181,quinoa (cru),g,0.001,quinoa
183,citron vert,unitaire,0.1166666666666666,citron vert
184,yaourt grec,càs,0.015,yaourt grec
186,pâtes (farfalles),g,0.001,pâtes
188,amandes (effilées),g,0.001,amandes
191,sauce pesto,càs,0.015,sauce pesto
192,polenta,g,0.001,polenta
198,ravioles au fromage,g,0.001,ravioles au fromage
201,gnocchi (à poêler),g,0.001,gnocchi
208,pâtes (linguine),g,0.001,pâtes
209,avocat,unitaire,0.2012578616352201,avocat
217,saumon (fumé),tran.,0.02,saumon
218,mangue,unitaire,0.3333333333333333,mangue
221,sauce soja salée,càs,0.015,sauce soja salée
226,tortilla (blé),unitaire,0.075,tortilla
227,concombre,unitaire,0.3529411764705882,concombre
228,fromage frais,g,0.001,fromage frais
231,semoule,g,0.001,semoule
237,veau (escalope),unitaire,0.125,veau
239,petits pois (frais),g,0.001,petits pois
242,graines de tournesol,g,0.001,graines de tournesol
243,vermicelles de riz,g,0.001,vermicelles de riz
244,carotte (frais),g,0.001,carotte
245,concombre,g,0.001,concombre
250,cacahuète,g,0.001,cacahuète
251,bœuf (rumsteck),unitaire,0.175,boeuf
254,sauce pesto,càc,0.005,sauce pesto
256,pâtes (orecchiette),g,0.001,pâtes
275,chou-fleur (frais),unitaire,0.8888888888888888,chou-fleur
280,cumin (moulu),pinc.,0.0005,cumin
287,beurre de cacahuète,càs,0.015,beurre de cacahuète
289,brocoli (frais),g,0.001,brocoli
297,sauce tomate (basilic),g,0.001,sauce tomate
300,couscous aux épices,g,0.001,couscous aux épices
302,tomate séchée,g,0.001,tomate séchée
303,oignon nouveau,unitaire,0.015,oignon nouveau
308,moutarde à l'ancienne,càc,0.005,moutarde à l'ancienne
317,ricotta,g,0.001,ricotta
320,tomate cerise,unitaire,0.015,tomate cerise
328,pain de mie,tran.,0.03,pain de mie
330,comté,g,0.001,comté
336,confiture de cerise,càc,0.005,confiture de cerise
337,brie,g,0.001,brie
340,mélange céréales,g,0.001,mélange céréales
342,,bou.,0.04,nan
347,bœuf (tournedos),unitaire,0.175,boeuf
356,pomme de terre grenaille (surgelées),g,0.001,pomme de terre grenaille
357,bœuf (steak),unitaire,0.175,boeuf
359,roquefort,g,0.001,roquefort
368,curry (poudre),càc,0.005,curry
393,fromage râpé,g,0.001,fromage râpé
397,chèvre frais,g,0.001,chèvre frais
405,oignon rouge,unitaire,0.1,oignon rouge
406,piment de cayenne,pinc.,0.0005,piment de cayenne
413,tomate (à cuire),unitaire,0.125,tomate
415,chair à saucisse,g,0.001,chair à saucisse
420,lait,càs,0.015,lait
421,potimarron,unitaire,0.625,potimarron
427,pâtes (pipe rigate),g,0.001,pâtes
431,,càs,0.015,nan
433,tomate (à cuire),g,0.001,tomate
435,vinaigre balsamique,càc,0.005,vinaigre balsamique
436,sucre (en poudre),g,0.001,sucre
437,pâtes (macaroni),g,0.001,pâtes
441,chou-fleur (frais),g,0.001,chou-fleur
446,haddock fumé,g,0.001,haddock fumé
451,cheddar (râpé),g,0.001,cheddar
462,sucre (en poudre),càs,0.015,sucre
465,tomate (concentré),g,0.001,tomate
471,udon,g,0.001,udon
474,champignons bruns,g,0.001,champignons bruns
477,pâte feuilletée,unitaire,0.225,pâte feuilletée
480,epinards (surgelés),g,0.001,epinards
486,sauce tikka masala,g,0.001,sauce tikka masala
487,poireau,unitaire,0.125,poireau
490,crème fraîche épaisse,g,0.001,crème fraîche épaisse
495,grenade,unitaire,0.25,grenade
501,lard (tranches),g,0.001,lard
512,sauce curry korma,càc,0.005,sauce curry korma
515,courge butternut,unitaire,0.875,courge butternut
526,gaspacho,cl,0.01,gaspacho
537,poulet (entier),unitaire,1.25,poulet
539,bouquet garni,unitaire,0.015,bouquet garni
543,saumon (cru),unitaire,0.175,saumon
547,vinaigre de riz,càs,0.015,vinaigre de riz
548,radis,g,0.001,radis
554,poivron (assortiment),unitaire,0.125,poivron
563,blé (à cuire),g,0.001,blé
566,moutarde,càs,0.015,moutarde
574,pois chiches (cuits),g,0.001,pois chiches
576,pain de campagne (non tranché),g,0.001,pain de campagne
580,maïs (conserve),g,0.001,maïs
582,camembert,unitaire,0.1875,camembert
586,lard (tranches),tran.,0.02,lard
588,bouillon de légumes (cube),unitaire,0.015,bouillon de légumes
610,champignons (mélange),g,0.001,champignons
611,bouillon de volaille (cube),unitaire,0.015,bouillon de volaille
613,patate douce,g,0.001,patate douce
616,riz (mélange),g,0.001,riz
621,moutarde douce,càc,0.005,moutarde douce
622,estragon (séché),càc,0.005,estragon
623,sirop d'érable,càs,0.015,sirop d'érable
627,pâtes (conchiglioni),g,0.001,pâtes
628,câpres,càs,0.015,câpres
630,thon (conserve),g,0.001,thon
632,pâtes fraîches,g,0.001,pâtes fraîches
642,pain pita,unitaire,0.075,pain pita
645,paprika,pinc.,0.0005,paprika
646,pâtes (trofie),g,0.001,pâtes
647,saucisse (chipolata),unitaire,0.04,saucisse
651,fenouil,unitaire,0.2666666666666666,fenouil
656,dinde (escalope),unitaire,0.125,dinde
658,paprika,càc,0.005,paprika
679,bœuf (bavette),unitaire,0.175,boeuf
701,marrons (cuits),g,0.001,marrons
711,orange,unitaire,0.1359223300970873,orange
714,vinaigre de cidre,càs,0.015,vinaigre de cidre
715,céleri-rave,unitaire,1.0256410256410258,céleri-rave
718,crème liquide,càs,0.015,crème liquide
729,confits d'oignons,càc,0.005,confits d'oignons
735,poireau,g,0.001,poireau
736,quenelle nature,unitaire,0.075,quenelle nature
740,fourme d'ambert,unitaire,0.125,fourme d'ambert
742,riz (arborio),g,0.001,riz
749,sauce arrabbiata,g,0.001,sauce arrabbiata
750,pâtes (pappardelle),g,0.001,pâtes
751,morilles (séchées),g,0.001,morilles
753,canard (magret),unitaire,0.225,canard
765,english muffin,unitaire,0.075,english muffin
767,salade (sucrine),unitaire,0.125,salade
770,beurre demi-sel,g,0.001,beurre demi-sel
771,chocolat à cuire,g,0.001,chocolat à cuire
772,crème de marrons,g,0.001,crème de marrons
773,pâtes (fusillotti),g,0.001,pâtes
791,bacon,tran.,0.02,bacon
792,cheddar (tranches),tran.,0.015,cheddar
798,lentilles (à cuire),g,0.001,lentilles
800,poivrons grillés,g,0.001,poivrons grillés
802,pomme rouge,unitaire,0.1523809523809524,pomme rouge
803,endives,unitaire,0.0727272727272727,endives
806,vinaigre de cidre,càc,0.005,vinaigre de cidre
807,ciboulette,g,0.001,ciboulette
815,tabasco,càc,0.005,tabasco
816,betterave (cuite),g,0.001,betterave
827,huile d'olive,càs,0.015,huile d'olive
834,romarin (séché),g,0.001,romarin
846,tomate pelée,g,0.001,tomate pelée
847,pâtes (alphabet),g,0.001,pâtes
854,curcuma (poudre),càc,0.005,curcuma
864,pâte de curry (rouge),càc,0.005,pâte de curry
867,jambon cru (prosciutto),tran.,0.02,jambon cru
874,kiri,unitaire,0.025,kiri
881,yaourt nature,g,0.001,yaourt nature
884,tahini,càc,0.005,tahini
885,quatre-épices,càc,0.005,quatre-épices
900,vinaigre de vin rouge,càs,0.015,vinaigre de vin rouge
905,bœuf (steak haché),unitaire,0.125,boeuf
908,pâte de curry (vert),càc,0.005,pâte de curry
915,pain de campagne (tranché),g,0.001,pain de campagne
934,vinaigre de vin rouge,càc,0.005,vinaigre de vin rouge
937,nouilles instantanées (curry),unitaire,0.0875,nouilles instantanées
944,nouilles instantanées (bœuf),unitaire,0.0875,nouilles instantanées
952,fond de veau,càc,0.005,fond de veau
963,sauce piment (sriracha),càc,0.005,sauce piment
964,nouilles instantanées (poulet),unitaire,0.0875,nouilles instantanées
976,nouilles de riz,g,0.001,nouilles de riz
984,brocoli (frais),unitaire,0.4285714285714285,brocoli
985,noix de saint-jacques,g,0.001,noix de saint-jacques
986,pomme de terre,unitaire,0.0909090909090909,pomme de terre
994,persil (frais),càc,0.005,persil
1000,noix de cajou,g,0.001,noix de cajou
1001,coriandre (frais),càc,0.005,coriandre
1003,boulettes de viande (fraîches),g,0.001,boulettes de viande
1004,pâtes (farfallines),g,0.001,pâtes
1032,pâtes (tortellini ricotta-épinards),g,0.001,pâtes
1042,tortilla (maïs),unitaire,0.075,tortilla
1043,poivron rouge,unitaire,0.1052631578947368,poivron rouge
1052,épices tandoori,càc,0.005,épices tandoori
1054,chips de tortillas,g,0.001,chips de tortillas
1064,sauce tomate (napolitaine),g,0.001,sauce tomate
1070,poivron vert,unitaire,0.1052631578947368,poivron vert
1075,mélange épices mexicaines,càc,0.005,mélange épices mexicaines
1091,yaourt nature,unitaire,0.1375,yaourt nature
1098,poulet (cuisse),unitaire,0.175,poulet
1100,olives vertes,g,0.001,olives vertes
1108,ail,unitaire,0.0833333333333333,ail
1115,,cl,0.01,nan
1117,chorizo (entier),g,0.001,chorizo
1152,anchois,unitaire,0.015,anchois
1156,sucre (en poudre),càc,0.005,sucre
1165,vinaigre balsamique,càs,0.015,vinaigre balsamique
1172,cumin (moulu),càc,0.005,cumin
1174,oignon jaune,kg,1.0,oignon jaune
1186,asperges vertes (fraîches),g,0.001,asperges vertes
1189,mayonnaise,càc,0.005,mayonnaise
1191,vinaigre de vin blanc,càs,0.015,vinaigre de vin blanc
1192,estragon (frais),g,0.001,estragon
1206,moutarde,càc,0.005,moutarde
1211,chèvre (bûche),g,0.001,chèvre
1276,tofu (fumé),g,0.001,tofu
1287,tofu (nature),g,0.001,tofu
1317,pistaches (grillées),g,0.001,pistaches
1325,haricots blancs nature (cuits),g,0.001,haricots blancs nature
1330,pomme de terre (petites),g,0.001,pomme de terre
1364,vinaigre de vin blanc,càc,0.005,vinaigre de vin blanc
1371,olives vertes,càs,0.015,olives vertes
1373,poulet émincé (cuit),g,0.001,poulet émincé
1374,bacon,g,0.001,bacon
1378,salade (coeur de laitue),g,0.001,salade
1379,mayonnaise,càs,0.015,mayonnaise
1381,houmous,g,0.001,houmous
1396,raifort (crème),càc,0.005,raifort
1402,chou blanc (pièce),unitaire,1.090909090909091,chou blanc
1404,sirop d'érable,càc,0.005,sirop d'érable
1406,haricots (mélange/surgelé),g,0.001,haricots
1408,pâte miso,càc,0.005,pâte miso
1410,garam masala,càc,0.005,garam masala
1472,pousses de soja,g,0.001,pousses de soja
1475,lentilles (cuites),g,0.001,lentilles
1490,beurre de cacahuète,càc,0.005,beurre de cacahuète
1533,pain (baguette),g,0.001,pain
1548,yaourt grec,g,0.001,yaourt grec
1554,riz (à sushi),g,0.001,riz
1560,olive noire,g,0.001,olive noire
1568,nouilles précuites (ramen),g,0.001,nouilles précuites
1573,harissa (pâte),càc,0.005,harissa
1575,ras el hanout,càc,0.005,ras el hanout
1589,origan (séché),càc,0.005,origan
1593,fraise,g,0.001,fraise
1600,tomates multicolores,g,0.001,tomates multicolores
1601,mozzarella di bufala,g,0.001,mozzarella di bufala
1631,melon,unitaire,0.9087731562390772,melon
1641,feuille de riz,unitaire,0.015,feuille de riz
1646,carottes râpées (nature),g,0.001,carottes râpées
1650,œuf de caille,unitaire,0.0075,oeuf de caille
1667,yaourt nature,càs,0.015,yaourt nature
1673,chèvre (rocamadour),unitaire,0.04,chèvre
1678,herbes de provence,pinc.,0.0005,herbes de provence
1679,courgette ronde,unitaire,0.25,courgette ronde
1725,mozzarella (mini),g,0.001,mozzarella
1729,saucisse (fumée),g,0.001,saucisse
1736,abricots (secs),g,0.001,abricots
1738,pain d'épices,g,0.001,pain d'épices
1749,romarin (séché),pinc.,0.0005,romarin
1751,aubergine,g,0.001,aubergine
1789,pain noir,tran.,0.035,pain noir
1800,pain de mie (céréales),tran.,0.03,pain de mie
1801,melon (vert),unitaire,0.625,melon
1814,poudre d'amande,g,0.001,poudre d'amande
1818,nectarine,g,0.001,nectarine
1828,cerises,g,0.001,cerises
1833,abricot (frais),g,0.001,abricot
1838,fruits rouges (surgelés),g,0.001,fruits rouges
1849,cumin (graines),pinc.,0.0005,cumin
1859,brioche (tranchée),g,0.001,brioche
1878,arôme fleur d'oranger,càs,0.015,arôme fleur d'oranger
1882,poire,unitaire,0.131578947368421,poire
1886,pomme (à cuire),unitaire,0.1523809523809524,pomme
1888,pâte à tartiner,càs,0.015,pâte à tartiner
1892,confiture de myrtilles,càs,0.015,confiture de myrtilles
1902,sucre de canne,g,0.001,sucre de canne
1907,banane,unitaire,0.1428571428571428,banane
1920,compote rhubarbe,g,0.001,compote rhubarbe
